task	condition	comparison_type	variable	category	original_n	final_n	original_value	final_value	absolute_difference	note
Grammaticality	grammatical	categorical_proportion	number_word	two	20	310	0.25	0.23870967741935484	0.011290322580645162	Targeted to ds003604 within integer/lexical-disjointness tolerance
Grammaticality	finiteness_violation	categorical_proportion	template_family	be_progressive	20	155	0.25	0.2645161290322581	0.014516129032258074	Targeted to ds003604 within integer/lexical-disjointness tolerance
Grammaticality	finiteness_violation	categorical_proportion	template_family	do_negation	20	155	0.25	0.25161290322580643	0.001612903225806428	Targeted to ds003604 within integer/lexical-disjointness tolerance
Grammaticality	finiteness_violation	categorical_proportion	template_family	present_3s	20	155	0.25	0.25161290322580643	0.001612903225806428	Targeted to ds003604 within integer/lexical-disjointness tolerance
Grammaticality	finiteness_violation	categorical_proportion	template_family	simple_past	20	155	0.25	0.23225806451612904	0.017741935483870958	Targeted to ds003604 within integer/lexical-disjointness tolerance
Grammaticality	finiteness_violation	categorical_proportion	subject	he	20	155	0.3	0.3096774193548387	0.009677419354838734	Targeted to ds003604 within integer/lexical-disjointness tolerance
Grammaticality	finiteness_violation	categorical_proportion	subject	she	20	155	0.35	0.32903225806451614	0.02096774193548384	Targeted to ds003604 within integer/lexical-disjointness tolerance
Grammaticality	finiteness_violation	categorical_proportion	subject	they	20	155	0.35	0.36129032258064514	0.011290322580645162	Targeted to ds003604 within integer/lexical-disjointness tolerance
Grammaticality	finiteness_violation	categorical_proportion	number_word	five	20	155	0.05	0.05161290322580645	0.0016129032258064488	Targeted to ds003604 within integer/lexical-disjointness tolerance
Grammaticality	finiteness_violation	categorical_proportion	number_word	four	20	155	0.1	0.11612903225806452	0.016129032258064516	Targeted to ds003604 within integer/lexical-disjointness tolerance
Grammaticality	finiteness_violation	categorical_proportion	number_word	one	20	155	0.45	0.41935483870967744	0.030645161290322576	Targeted to ds003604 within integer/lexical-disjointness tolerance
Grammaticality	finiteness_violation	categorical_proportion	number_word	six	20	155	0.05	0.07741935483870968	0.027419354838709678	Targeted to ds003604 within integer/lexical-disjointness tolerance
Grammaticality	finiteness_violation	categorical_proportion	number_word	three	20	155	0.05	0.07096774193548387	0.02096774193548387	Targeted to ds003604 within integer/lexical-disjointness tolerance
Grammaticality	finiteness_violation	categorical_proportion	number_word	two	20	155	0.3	0.2645161290322581	0.035483870967741915	Targeted to ds003604 within integer/lexical-disjointness tolerance
Grammaticality	plurality_violation	categorical_proportion	template_family	be_progressive	20	155	0.25	0.23870967741935484	0.011290322580645162	Targeted to ds003604 within integer/lexical-disjointness tolerance
Grammaticality	plurality_violation	categorical_proportion	template_family	do_negation	20	155	0.25	0.22580645161290322	0.02419354838709678	Targeted to ds003604 within integer/lexical-disjointness tolerance
Grammaticality	plurality_violation	categorical_proportion	template_family	present_3s	20	155	0.25	0.25161290322580643	0.001612903225806428	Targeted to ds003604 within integer/lexical-disjointness tolerance
Grammaticality	plurality_violation	categorical_proportion	template_family	simple_past	20	155	0.25	0.2838709677419355	0.03387096774193549	Targeted to ds003604 within integer/lexical-disjointness tolerance
Grammaticality	plurality_violation	categorical_proportion	subject	he	20	155	0.35	0.3548387096774194	0.004838709677419395	Targeted to ds003604 within integer/lexical-disjointness tolerance
Grammaticality	plurality_violation	categorical_proportion	subject	she	20	155	0.3	0.3096774193548387	0.009677419354838734	Targeted to ds003604 within integer/lexical-disjointness tolerance
Grammaticality	plurality_violation	categorical_proportion	subject	they	20	155	0.35	0.33548387096774196	0.014516129032258018	Targeted to ds003604 within integer/lexical-disjointness tolerance
Grammaticality	plurality_violation	categorical_proportion	number_word	five	20	155	0.05	0.03870967741935484	0.011290322580645162	Targeted to ds003604 within integer/lexical-disjointness tolerance
Grammaticality	plurality_violation	categorical_proportion	number_word	four	20	155	0.05	0.07096774193548387	0.02096774193548387	Targeted to ds003604 within integer/lexical-disjointness tolerance
Grammaticality	plurality_violation	categorical_proportion	number_word	one	20	155	0.25	0.22580645161290322	0.02419354838709678	Targeted to ds003604 within integer/lexical-disjointness tolerance
Grammaticality	plurality_violation	categorical_proportion	number_word	six	20	155	0.05	0.07741935483870968	0.027419354838709678	Targeted to ds003604 within integer/lexical-disjointness tolerance
Grammaticality	plurality_violation	categorical_proportion	number_word	three	20	155	0.05	0.07096774193548387	0.02096774193548387	Targeted to ds003604 within integer/lexical-disjointness tolerance
Grammaticality	plurality_violation	categorical_proportion	number_word	two	20	155	0.55	0.5161290322580645	0.03387096774193554	Targeted to ds003604 within integer/lexical-disjointness tolerance
