split	condition_a	condition_b	variable	n_a	n_b	mean_a	mean_b	sd_a	sd_b	median_a	median_b	min_a	max_a	min_b	max_b	smd	ks_statistic
validation	high_association	low_association	within_pair_subtlex_difference	40	40	0.9461706338089577	0.9370681811084569	0.8647014779632692	0.8798793687551759	0.6657698449096161	0.5622907198029572	0.03174677611785981	2.9020135623701018	0.03621217265444443	3.40435767959821	0.010434722189177908	0.09999999999999998
validation	high_association	low_association	mean_orthographic_length	40	40	5.1375	5.125	1.344444885922086	1.1698674042769734	5.0	5.0	3.5	10.0	3.5	9.0	0.009919195200341416	0.07499999999999996
validation	high_association	low_association	mean_phoneme_count	40	40	4.1375	4.15	0.9999198685843498	0.9621023987294833	4.0	4.0	2.5	7.5	2.5	7.5	-0.012739589027487034	0.07500000000000001
validation	high_association	low_association	mean_syllable_count	40	40	1.45	1.45	0.46409548089225705	0.5406548735632486	1.5	1.5	1.0	3.0	1.0	3.0	0.0	0.10000000000000003
validation	high_association	unrelated	mean_subtlex_zipf	40	80	4.284697328194798	4.294673864492025	0.7397346387182169	0.5262606149626141	4.163676514346415	4.293744762798086	2.8743085858930417	5.952144438245188	3.1484177510779414	5.879138310035398	-0.015541382833686463	0.16250000000000003
validation	high_association	unrelated	within_pair_subtlex_difference	40	80	0.9461706338089577	0.9496821066826688	0.8647014779632692	0.6009067525025612	0.6657698449096161	0.9358277990453368	0.03174677611785981	2.9020135623701018	0.029085779915972054	3.1297704289602	-0.004716047630522764	0.20000000000000007
validation	high_association	unrelated	mean_orthographic_length	40	80	5.1375	5.11875	1.344444885922086	1.0501469155807666	5.0	5.0	3.5	10.0	3.0	7.5	0.015543340511226833	0.08750000000000002
validation	high_association	unrelated	mean_phoneme_count	40	80	4.1375	4.1625	0.9999198685843498	0.8182065908537132	4.0	4.0	2.5	7.5	3.0	7.0	-0.027364503939389943	0.050000000000000044
validation	high_association	unrelated	mean_syllable_count	40	80	1.45	1.44375	0.46409548089225705	0.3814840275701451	1.5	1.5	1.0	3.0	1.0	2.5	0.014712712292798795	0.0625
validation	low_association	unrelated	mean_subtlex_zipf	40	80	4.290544416781389	4.294673864492025	0.5955594083027395	0.5262606149626141	4.232975845311074	4.293744762798086	3.2088119763723295	5.749045027700644	3.1484177510779414	5.879138310035398	-0.007348043676117927	0.125
validation	low_association	unrelated	within_pair_subtlex_difference	40	80	0.9370681811084569	0.9496821066826688	0.8798793687551759	0.6009067525025612	0.5622907198029572	0.9358277990453368	0.03621217265444443	3.40435767959821	0.029085779915972054	3.1297704289602	-0.016742272771310282	0.25
validation	low_association	unrelated	mean_orthographic_length	40	80	5.125	5.11875	1.1698674042769734	1.0501469155807666	5.0	5.0	3.5	9.0	3.0	7.5	0.005622424657413412	0.08750000000000002
validation	low_association	unrelated	mean_phoneme_count	40	80	4.15	4.1625	0.9621023987294833	0.8182065908537132	4.0	4.0	2.5	7.5	3.0	7.0	-0.013996860621358959	0.050000000000000044
validation	low_association	unrelated	mean_syllable_count	40	80	1.45	1.44375	0.5406548735632486	0.3814840275701451	1.5	1.5	1.0	3.0	1.0	2.5	0.013357906852889335	0.16250000000000003
test	high_association	low_association	mean_subtlex_zipf	65	65	4.290005656994907	4.295188711952715	0.7884127837205478	0.5004717853247861	4.160024803640988	4.211688140816875	3.1557934284153495	7.293766259371621	3.526426153662638	5.501849631558171	-0.007849210095121092	0.15384615384615385
test	high_association	low_association	within_pair_subtlex_difference	65	65	0.9389988463825891	0.9468712647710091	0.6159731414031038	0.6205018139930126	0.9086299044452661	0.822683649915013	0.01484675606857877	2.4178955157704003	0.00843316753686274	2.319603869951573	-0.012733562540376971	0.12307692307692308
test	high_association	low_association	mean_orthographic_length	65	65	5.123076923076923	5.138461538461539	1.2469674753638864	1.2103321222515109	5.0	5.0	2.5	10.0	3.5	11.5	-0.012520171248748505	0.15384615384615397
test	high_association	low_association	mean_phoneme_count	65	65	4.138461538461539	4.130769230769231	1.1439640930351993	1.0010811463305367	4.0	4.0	2.0	9.5	2.5	9.5	0.007156304964839438	0.09230769230769231
